id,title,domainKey,domainLabel,relatedIndicationKey,relatedIndicationLabel,screeningRiskTarget,minAgeMonth,maxAgeMonth,ageRange,difficulty,estimatedDurationMinutes,recommendedFrequencyPerWeek,materials,description,purpose,steps,successIndicator,observationScoreGuide,safetyNotes,sourceNote
ACT-011,Mencari Mainan Tersembunyi,COGNITIVE,Kognitif,ASD,ASD,SOCIAL_EMOTIONAL,12,15,12-15 bulan,Mudah,5,4,mainan favorit dan kain kecil,Aktivitas stimulasi rumah untuk usia 12-15 bulan yang membantu anak berlatih: mencari mainan yang disembunyikan sebagian.,"Melatih atensi, memori kerja, pemecahan masalah, klasifikasi, urutan, dan fleksibilitas berpikir.",Siapkan mainan favorit dan kain kecil di tempat yang aman dan minim distraksi. | Contohkan aktivitas kepada anak: mencari mainan yang disembunyikan sebagian. | Berikan kesempatan anak mencoba 3-5 kali dengan bantuan seminimal mungkin. | Berikan pujian dan catat hasil observasi sesuai indikator keberhasilan.,Anak mampu mencari mainan yang disembunyikan sebagian secara konsisten minimal 2 dari 3 percobaan atau dengan bantuan yang makin berkurang.,"0=belum mampu, 1=mampu dengan bantuan, 2=mampu mandiri/konsisten","Dampingi anak selama aktivitas. Hentikan jika anak lelah, takut, atau lingkungan tidak aman.",Dikembangkan dari kerangka dataset stimulasi terapi rumah berbasis SDIDTK 2022 dan contoh aktivitas dalam PDF unggahan.
ACT-012,Merespons Nama Dipanggil,COMMUNICATION_SPEECH,Bicara dan Bahasa,SPEECH_DELAY,Speech Delay,COMMUNICATION_SPEECH,12,15,12-15 bulan,Mudah,5,5,lingkungan tenang,Aktivitas stimulasi rumah untuk usia 12-15 bulan yang membantu anak berlatih: menoleh atau merespons saat namanya dipanggil.,"Melatih komunikasi reseptif, ekspresif, perluasan kosakata, dan kemampuan mengikuti instruksi.",Siapkan lingkungan tenang di tempat yang aman dan minim distraksi. | Contohkan aktivitas kepada anak: menoleh atau merespons saat namanya dipanggil. | Berikan kesempatan anak mencoba 3-5 kali dengan bantuan seminimal mungkin. | Berikan pujian dan catat hasil observasi sesuai indikator keberhasilan.,Anak mampu menoleh atau merespons saat namanya dipanggil secara konsisten minimal 2 dari 3 percobaan atau dengan bantuan yang makin berkurang.,"0=belum mampu, 1=mampu dengan bantuan, 2=mampu mandiri/konsisten","Dampingi anak selama aktivitas. Hentikan jika anak lelah, takut, atau lingkungan tidak aman.",Dikembangkan dari kerangka dataset stimulasi terapi rumah berbasis SDIDTK 2022 dan contoh aktivitas dalam PDF unggahan.
ACT-013,Merambat ke Target,GROSS_MOTOR,Gerak Kasar,ADHD,ADHD,COGNITIVE_PROBLEM_SOLVING,12,15,12-15 bulan,Mudah,5,4,sofa/meja rendah yang stabil dan mainan target,Aktivitas stimulasi rumah untuk usia 12-15 bulan yang membantu anak berlatih: merambat menuju mainan target dengan aman.,"Melatih koordinasi otot besar, keseimbangan, kekuatan tubuh, dan kontrol gerak.",Siapkan sofa/meja rendah yang stabil dan mainan target di tempat yang aman dan minim distraksi. | Contohkan aktivitas kepada anak: merambat menuju mainan target dengan aman. | Berikan kesempatan anak mencoba 3-5 kali dengan bantuan seminimal mungkin. | Berikan pujian dan catat hasil observasi sesuai indikator keberhasilan.,Anak mampu merambat menuju mainan target dengan aman secara konsisten minimal 2 dari 3 percobaan atau dengan bantuan yang makin berkurang.,"0=belum mampu, 1=mampu dengan bantuan, 2=mampu mandiri/konsisten","Dampingi anak selama aktivitas. Hentikan jika anak lelah, takut, atau lingkungan tidak aman. Pastikan lantai tidak licin dan area bebas sudut tajam.",Dikembangkan dari kerangka dataset stimulasi terapi rumah berbasis SDIDTK 2022 dan contoh aktivitas dalam PDF unggahan.
ACT-014,Minum dari Gelas dengan Bantuan,SOCIAL_INDEPENDENCE,Sosialisasi dan Kemandirian,ASD,ASD,SOCIAL_EMOTIONAL,12,15,12-15 bulan,Mudah,5,4,gelas anak berisi sedikit air,Aktivitas stimulasi rumah untuk usia 12-15 bulan yang membantu anak berlatih: minum dari gelas dengan bantuan minimal.,"Melatih interaksi sosial, imitasi, regulasi emosi, kemandirian bantu diri, dan kebiasaan harian.",Siapkan gelas anak berisi sedikit air di tempat yang aman dan minim distraksi. | Contohkan aktivitas kepada anak: minum dari gelas dengan bantuan minimal. | Berikan kesempatan anak mencoba 3-5 kali dengan bantuan seminimal mungkin. | Berikan pujian dan catat hasil observasi sesuai indikator keberhasilan.,Anak mampu minum dari gelas dengan bantuan minimal secara konsisten minimal 2 dari 3 percobaan atau dengan bantuan yang makin berkurang.,"0=belum mampu, 1=mampu dengan bantuan, 2=mampu mandiri/konsisten","Dampingi anak selama aktivitas. Hentikan jika anak lelah, takut, atau lingkungan tidak aman.",Dikembangkan dari kerangka dataset stimulasi terapi rumah berbasis SDIDTK 2022 dan contoh aktivitas dalam PDF unggahan.
ACT-015,Mencoret Bebas di Kertas,FINE_MOTOR,Gerak Halus,ASD,ASD,SOCIAL_EMOTIONAL,15,18,15-18 bulan,Mudah,5,4,kertas besar dan krayon non-toksik,Aktivitas stimulasi rumah untuk usia 15-18 bulan yang membantu anak berlatih: membuat coretan sengaja di atas kertas.,"Melatih koordinasi mata-tangan, ketangkasan jari, kontrol alat tulis, dan manipulasi benda kecil.",Siapkan kertas besar dan krayon non-toksik di tempat yang aman dan minim distraksi. | Contohkan aktivitas kepada anak: membuat coretan sengaja di atas kertas. | Berikan kesempatan anak mencoba 3-5 kali dengan bantuan seminimal mungkin. | Berikan pujian dan catat hasil observasi sesuai indikator keberhasilan.,Anak mampu membuat coretan sengaja di atas kertas secara konsisten minimal 2 dari 3 percobaan atau dengan bantuan yang makin berkurang.,"0=belum mampu, 1=mampu dengan bantuan, 2=mampu mandiri/konsisten","Dampingi anak selama aktivitas. Hentikan jika anak lelah, takut, atau lingkungan tidak aman. Hindari benda kecil yang berisiko tertelan.",Dikembangkan dari kerangka dataset stimulasi terapi rumah berbasis SDIDTK 2022 dan contoh aktivitas dalam PDF unggahan.
ACT-016,Perintah Sederhana Sini,COMMUNICATION_SPEECH,Bicara dan Bahasa,SPEECH_DELAY,Speech Delay,COMMUNICATION_SPEECH,15,18,15-18 bulan,Mudah,5,5,ruang aman dan jarak sekitar dua meter,Aktivitas stimulasi rumah untuk usia 15-18 bulan yang membantu anak berlatih: mendekat saat diberi instruksi verbal sederhana.,"Melatih komunikasi reseptif, ekspresif, perluasan kosakata, dan kemampuan mengikuti instruksi.",Siapkan ruang aman dan jarak sekitar dua meter di tempat yang aman dan minim distraksi. | Contohkan aktivitas kepada anak: mendekat saat diberi instruksi verbal sederhana. | Berikan kesempatan anak mencoba 3-5 kali dengan bantuan seminimal mungkin. | Berikan pujian dan catat hasil observasi sesuai indikator keberhasilan.,Anak mampu mendekat saat diberi instruksi verbal sederhana secara konsisten minimal 2 dari 3 percobaan atau dengan bantuan yang makin berkurang.,"0=belum mampu, 1=mampu dengan bantuan, 2=mampu mandiri/konsisten","Dampingi anak selama aktivitas. Hentikan jika anak lelah, takut, atau lingkungan tidak aman.",Dikembangkan dari kerangka dataset stimulasi terapi rumah berbasis SDIDTK 2022 dan contoh aktivitas dalam PDF unggahan.
ACT-017,Menumpuk 2 Balok,FINE_MOTOR,Gerak Halus,ADHD,ADHD,COGNITIVE_PROBLEM_SOLVING,15,18,15-18 bulan,Mudah,5,4,dua balok kayu/plastik besar,Aktivitas stimulasi rumah untuk usia 15-18 bulan yang membantu anak berlatih: menaruh satu balok di atas balok lain tanpa langsung jatuh.,"Melatih koordinasi mata-tangan, ketangkasan jari, kontrol alat tulis, dan manipulasi benda kecil.",Siapkan dua balok kayu/plastik besar di tempat yang aman dan minim distraksi. | Contohkan aktivitas kepada anak: menaruh satu balok di atas balok lain tanpa langsung jatuh. | Berikan kesempatan anak mencoba 3-5 kali dengan bantuan seminimal mungkin. | Berikan pujian dan catat hasil observasi sesuai indikator keberhasilan.,Anak mampu menaruh satu balok di atas balok lain tanpa langsung jatuh secara konsisten minimal 2 dari 3 percobaan atau dengan bantuan yang makin berkurang.,"0=belum mampu, 1=mampu dengan bantuan, 2=mampu mandiri/konsisten","Dampingi anak selama aktivitas. Hentikan jika anak lelah, takut, atau lingkungan tidak aman. Hindari benda kecil yang berisiko tertelan.",Dikembangkan dari kerangka dataset stimulasi terapi rumah berbasis SDIDTK 2022 dan contoh aktivitas dalam PDF unggahan.
ACT-018,Menunjuk Gambar Keluarga,COMMUNICATION_SPEECH,Bicara dan Bahasa,SPEECH_DELAY,Speech Delay,COMMUNICATION_SPEECH,15,18,15-18 bulan,Mudah,5,5,foto anggota keluarga,Aktivitas stimulasi rumah untuk usia 15-18 bulan yang membantu anak berlatih: menunjuk foto orang yang disebutkan.,"Melatih komunikasi reseptif, ekspresif, perluasan kosakata, dan kemampuan mengikuti instruksi.",Siapkan foto anggota keluarga di tempat yang aman dan minim distraksi. | Contohkan aktivitas kepada anak: menunjuk foto orang yang disebutkan. | Berikan kesempatan anak mencoba 3-5 kali dengan bantuan seminimal mungkin. | Berikan pujian dan catat hasil observasi sesuai indikator keberhasilan.,Anak mampu menunjuk foto orang yang disebutkan secara konsisten minimal 2 dari 3 percobaan atau dengan bantuan yang makin berkurang.,"0=belum mampu, 1=mampu dengan bantuan, 2=mampu mandiri/konsisten","Dampingi anak selama aktivitas. Hentikan jika anak lelah, takut, atau lingkungan tidak aman.",Dikembangkan dari kerangka dataset stimulasi terapi rumah berbasis SDIDTK 2022 dan contoh aktivitas dalam PDF unggahan.
ACT-019,Membawa Benda ke Orang Tua,SOCIAL_INDEPENDENCE,Sosialisasi dan Kemandirian,ASD,ASD,SOCIAL_EMOTIONAL,15,18,15-18 bulan,Mudah,5,4,mainan ringan atau botol kosong,Aktivitas stimulasi rumah untuk usia 15-18 bulan yang membantu anak berlatih: membawa benda kepada orang tua saat diminta.,"Melatih interaksi sosial, imitasi, regulasi emosi, kemandirian bantu diri, dan kebiasaan harian.",Siapkan mainan ringan atau botol kosong di tempat yang aman dan minim distraksi. | Contohkan aktivitas kepada anak: membawa benda kepada orang tua saat diminta. | Berikan kesempatan anak mencoba 3-5 kali dengan bantuan seminimal mungkin. | Berikan pujian dan catat hasil observasi sesuai indikator keberhasilan.,Anak mampu membawa benda kepada orang tua saat diminta secara konsisten minimal 2 dari 3 percobaan atau dengan bantuan yang makin berkurang.,"0=belum mampu, 1=mampu dengan bantuan, 2=mampu mandiri/konsisten","Dampingi anak selama aktivitas. Hentikan jika anak lelah, takut, atau lingkungan tidak aman.",Dikembangkan dari kerangka dataset stimulasi terapi rumah berbasis SDIDTK 2022 dan contoh aktivitas dalam PDF unggahan.
ACT-020,Berjalan Mundur 2 Langkah,GROSS_MOTOR,Gerak Kasar,ADHD,ADHD,COGNITIVE_PROBLEM_SOLVING,15,18,15-18 bulan,Mudah,5,4,ruang kosong dan lantai tidak licin,Aktivitas stimulasi rumah untuk usia 15-18 bulan yang membantu anak berlatih: berjalan mundur minimal dua langkah dengan aman.,"Melatih koordinasi otot besar, keseimbangan, kekuatan tubuh, dan kontrol gerak.",Siapkan ruang kosong dan lantai tidak licin di tempat yang aman dan minim distraksi. | Contohkan aktivitas kepada anak: berjalan mundur minimal dua langkah dengan aman. | Berikan kesempatan anak mencoba 3-5 kali dengan bantuan seminimal mungkin. | Berikan pujian dan catat hasil observasi sesuai indikator keberhasilan.,Anak mampu berjalan mundur minimal dua langkah dengan aman secara konsisten minimal 2 dari 3 percobaan atau dengan bantuan yang makin berkurang.,"0=belum mampu, 1=mampu dengan bantuan, 2=mampu mandiri/konsisten","Dampingi anak selama aktivitas. Hentikan jika anak lelah, takut, atau lingkungan tidak aman. Pastikan lantai tidak licin dan area bebas sudut tajam.",Dikembangkan dari kerangka dataset stimulasi terapi rumah berbasis SDIDTK 2022 dan contoh aktivitas dalam PDF unggahan.
ACT-021,Memasukkan Bentuk Lingkaran,COGNITIVE,Kognitif,ASD,ASD,SOCIAL_EMOTIONAL,15,18,15-18 bulan,Mudah,5,4,shape sorter bentuk lingkaran,Aktivitas stimulasi rumah untuk usia 15-18 bulan yang membantu anak berlatih: memasukkan bentuk lingkaran ke lubang yang sesuai.,"Melatih atensi, memori kerja, pemecahan masalah, klasifikasi, urutan, dan fleksibilitas berpikir.",Siapkan shape sorter bentuk lingkaran di tempat yang aman dan minim distraksi. | Contohkan aktivitas kepada anak: memasukkan bentuk lingkaran ke lubang yang sesuai. | Berikan kesempatan anak mencoba 3-5 kali dengan bantuan seminimal mungkin. | Berikan pujian dan catat hasil observasi sesuai indikator keberhasilan.,Anak mampu memasukkan bentuk lingkaran ke lubang yang sesuai secara konsisten minimal 2 dari 3 percobaan atau dengan bantuan yang makin berkurang.,"0=belum mampu, 1=mampu dengan bantuan, 2=mampu mandiri/konsisten","Dampingi anak selama aktivitas. Hentikan jika anak lelah, takut, atau lingkungan tidak aman.",Dikembangkan dari kerangka dataset stimulasi terapi rumah berbasis SDIDTK 2022 dan contoh aktivitas dalam PDF unggahan.
ACT-022,Mengulang Kata Sederhana,COMMUNICATION_SPEECH,Bicara dan Bahasa,SPEECH_DELAY,Speech Delay,COMMUNICATION_SPEECH,15,18,15-18 bulan,Mudah,5,5,"benda familiar seperti bola, mama, susu",Aktivitas stimulasi rumah untuk usia 15-18 bulan yang membantu anak berlatih: mengulang satu kata sederhana setelah dicontohkan.,"Melatih komunikasi reseptif, ekspresif, perluasan kosakata, dan kemampuan mengikuti instruksi.","Siapkan benda familiar seperti bola, mama, susu di tempat yang aman dan minim distraksi. | Contohkan aktivitas kepada anak: mengulang satu kata sederhana setelah dicontohkan. | Berikan kesempatan anak mencoba 3-5 kali dengan bantuan seminimal mungkin. | Berikan pujian dan catat hasil observasi sesuai indikator keberhasilan.",Anak mampu mengulang satu kata sederhana setelah dicontohkan secara konsisten minimal 2 dari 3 percobaan atau dengan bantuan yang makin berkurang.,"0=belum mampu, 1=mampu dengan bantuan, 2=mampu mandiri/konsisten","Dampingi anak selama aktivitas. Hentikan jika anak lelah, takut, atau lingkungan tidak aman.",Dikembangkan dari kerangka dataset stimulasi terapi rumah berbasis SDIDTK 2022 dan contoh aktivitas dalam PDF unggahan.
ACT-023,Meniru Pekerjaan Rumah,SOCIAL_INDEPENDENCE,Sosialisasi dan Kemandirian,ASD,ASD,SOCIAL_EMOTIONAL,15,18,15-18 bulan,Mudah,5,4,lap kecil atau sendok mainan,Aktivitas stimulasi rumah untuk usia 15-18 bulan yang membantu anak berlatih: meniru aksi sederhana seperti mengelap atau mengaduk.,"Melatih interaksi sosial, imitasi, regulasi emosi, kemandirian bantu diri, dan kebiasaan harian.",Siapkan lap kecil atau sendok mainan di tempat yang aman dan minim distraksi. | Contohkan aktivitas kepada anak: meniru aksi sederhana seperti mengelap atau mengaduk. | Berikan kesempatan anak mencoba 3-5 kali dengan bantuan seminimal mungkin. | Berikan pujian dan catat hasil observasi sesuai indikator keberhasilan.,Anak mampu meniru aksi sederhana seperti mengelap atau mengaduk secara konsisten minimal 2 dari 3 percobaan atau dengan bantuan yang makin berkurang.,"0=belum mampu, 1=mampu dengan bantuan, 2=mampu mandiri/konsisten","Dampingi anak selama aktivitas. Hentikan jika anak lelah, takut, atau lingkungan tidak aman.",Dikembangkan dari kerangka dataset stimulasi terapi rumah berbasis SDIDTK 2022 dan contoh aktivitas dalam PDF unggahan.
